"id","inscription_id","block_height","old_satpoint","new_satpoint","new_pkscript","new_wallet","sent_as_fee","content","content_type","parent_id"
"142689","24f2585e667e345c7b72a4969b4c70eb0e2106727d876217497c6cf86a8a354ci0",779833,"","24f2585e667e345c7b72a4969b4c70eb0e2106727d876217497c6cf86a8a354c:0:0","512037679ea62eab55ebfd442c53c4ad46b6b75e45d8a8fa9cb31a87d0df268b029a","bc1pxaneaf3w4d27hl2y93fuft2xk6m4u3wc4rafevc6slgd7f5tq2dqyfgy06",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"142769","885441055c7bb5d1c54863e33f5c3a06e5a14cc4749cb61a9b3ff1dbe52a5bbbi0",779834,"","885441055c7bb5d1c54863e33f5c3a06e5a14cc4749cb61a9b3ff1dbe52a5bbb:0:0","512037679ea62eab55ebfd442c53c4ad46b6b75e45d8a8fa9cb31a87d0df268b029a","bc1pxaneaf3w4d27hl2y93fuft2xk6m4u3wc4rafevc6slgd7f5tq2dqyfgy06",False,"{""p"": ""brc-20"", ""op"": ""transfer"", ""to"": ""1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa"", ""amt"": ""100"", ""fee"": ""1337"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"142852","885441055c7bb5d1c54863e33f5c3a06e5a14cc4749cb61a9b3ff1dbe52a5bbbi0",779835,"885441055c7bb5d1c54863e33f5c3a06e5a14cc4749cb61a9b3ff1dbe52a5bbb:0:0","628f019c4e3c30ccc0fd9aae872cb3720294a255127292bf61c38fbee39462fe:0:0","76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac","1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa",False,"{""p"": ""brc-20"", ""op"": ""transfer"", ""to"": ""1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa"", ""amt"": ""100"", ""fee"": ""1337"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"144590","307ffac5d20fc188f723706f85d75c926550d536f5fd1113839586f38542971ci0",779887,"","307ffac5d20fc188f723706f85d75c926550d536f5fd1113839586f38542971c:0:0","5120338da2a069c631d0ddba375e9d8c51081774afabd898ee9dfe1d68f97a6a2ec2","bc1pxwx69grfcccaphd6xa0fmrz3pqthftatmzvwa807r450j7n29mpqsmd28p",False,"{""p"": ""brc-20"", ""op"": ""deploy"", ""lim"": ""1"", ""max"": ""99999"", ""tick"": ""meme""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"145497","c51c79684743c7cbc53189c17479439320c2f3996ef069d13674ef12ff9260c2i0",779918,"","c51c79684743c7cbc53189c17479439320c2f3996ef069d13674ef12ff9260c2:0:0","512037679ea62eab55ebfd442c53c4ad46b6b75e45d8a8fa9cb31a87d0df268b029a","bc1pxaneaf3w4d27hl2y93fuft2xk6m4u3wc4rafevc6slgd7f5tq2dqyfgy06",False,"{""p"": ""brc-20"", ""op"": ""transfer"", ""to"": ""1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa"", ""amt"": ""1000"", ""fee"": ""1338"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"145567","c3811189ea9dffa6b47e759c08f921477ce9b7ebf402083adb763e23e40b29eci0",779930,"","c3811189ea9dffa6b47e759c08f921477ce9b7ebf402083adb763e23e40b29ec:0:0","512037679ea62eab55ebfd442c53c4ad46b6b75e45d8a8fa9cb31a87d0df268b029a","bc1pxaneaf3w4d27hl2y93fuft2xk6m4u3wc4rafevc6slgd7f5tq2dqyfgy06",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1"", ""tick"": ""meme""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146318","778bf74299ba8b29df3fcf22ce66cdc45a87c21cc229eb0f6d86bc57539971d2i0",779960,"","778bf74299ba8b29df3fcf22ce66cdc45a87c21cc229eb0f6d86bc57539971d2:0:0","51208ec84a06a653ff088c3c14d93f0796718a579f399027627250b5734b08272ddb","bc1p3myy5p4x20ls3rpuznvn7pukwx9908eejqnkyujsk4e5kzp89hdswml6w3",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146319","fb15db73d1871165a3bb93ed22dc26da97f71095deb504fd033c0e53a3d7e712i0",779960,"","fb15db73d1871165a3bb93ed22dc26da97f71095deb504fd033c0e53a3d7e712:0:0","5120aaf9549631022e7023ef517762af9c7688d6c58ecf286a3c67e5595a8817868d","bc1p4tu4f933qgh8qgl029mk9tuuw6ydd3vweu5x50r8u4v44zqhs6xs4qgqn8",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146320","d7fd0b111cf6a7ffc4efd2d5102a48ba513f635ad8b325afce9984f2beef3e5bi0",779960,"","d7fd0b111cf6a7ffc4efd2d5102a48ba513f635ad8b325afce9984f2beef3e5b:0:0","5120409943cab2dee3c71940969a612c6ee65c57cad1f064ca8db4508dab49260ca3","bc1pgzv58j4jmm3uwx2qj6dxztrwuew90jk37pjv4rd52zx6kjfxpj3stp5afw",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146321","095357d354ea7a85d61c677bf93ebf30af077157bd11ee48f074d063082325b9i0",779960,"","095357d354ea7a85d61c677bf93ebf30af077157bd11ee48f074d063082325b9:0:0","512045fe566300c0d09d93ec876baaac2d1eb7559e52fc4233b47b5736d8ce3ef728","bc1pghl9vccqcrgfmylvsa464tpdr6m4t8jjl3pr8drm2umd3n377u5qawhza8",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146322","ccc1702bc70ae324cba9f9a834b982a6437cb70e3dbd1c4275b0ea4407420ab0i0",779960,"","ccc1702bc70ae324cba9f9a834b982a6437cb70e3dbd1c4275b0ea4407420ab0:0:0","512080e413685bcdaab5bba00ddab9d6f0bd437c706127b68ef4126b4fec7e69f637","bc1psrjpx6zmek4ttwaqphdtn4hsh4phcurpy7mgaaqjdd87clnf7cmsu4h46d",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146329","e2f3efce6f9f126a97e220f878154797bab204f218748cfd6b2299929cdae5b0i0",779961,"","e2f3efce6f9f126a97e220f878154797bab204f218748cfd6b2299929cdae5b0:0:0","5120a3195452c0e9b4699e9ccb27fa1192accb08a4afd643307125413a787c5bcb4d","bc1p5vv4g5kqax6xn85uevnl5yvj4n9s3f906epnquf9gya8slzmedxsju56d8",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146334","5186bbc77d924d6d04dcdba28d464ffeaa0322e75e2d17ce68e4be497c2361c3i0",779961,"","5186bbc77d924d6d04dcdba28d464ffeaa0322e75e2d17ce68e4be497c2361c3:0:0","512017e9fe82a3efc9df858890dc5c1c33cae87353843b2c330223eb69b65dd3395d","bc1pzl5laq4ralyalpvgjrw9c8pnet58x5uy8vkrxq3rad5mvhwn89wsw4vlen",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146428","2782fcc4173baddd337b6adaaca11535daa821ab6c234d8eee22257260ea7d07i0",779964,"","2782fcc4173baddd337b6adaaca11535daa821ab6c234d8eee22257260ea7d07:0:0","5120f0719ca6ce53c2fe62f1dd946a0cc727fa8aa0362799fd44af721ab707071830","bc1p7pceefkw20p0uch3mk2x5rx8ylag4gpky7vl6390wgdtwpc8rqcqtk3paa",False,"{""p"": ""brc-20"", ""op"": ""deploy"", ""lim"": ""1"", ""max"": ""10000"", ""tick"": ""punk""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146453","57009dd22bdb59af0b69e827ce1c1775e1d9d1e9a8fa5f54293b4927d4b1f202i0",779966,"","57009dd22bdb59af0b69e827ce1c1775e1d9d1e9a8fa5f54293b4927d4b1f202:0:0","51201f998d3c82dfd55ad7213a68b2d870339fcb7614dcf1861cd7fc3d9c96d4b910","bc1pr7vc60yzml2444ep8f5t9krsxw0ukas5mnccv8xhls7ee9k5hygq5v8r9k",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146454","9ddbd9a1ddbadc975c6fd52989f46d375a26c22c8b30347278e060b697f15d42i0",779966,"","9ddbd9a1ddbadc975c6fd52989f46d375a26c22c8b30347278e060b697f15d42:0:0","5120144e9e85552f4f02e926eb9b55086b4a0d57b61286eea0fdeec86d09c990707e","bc1pz38fap249a8s96fxawd42zrtfgx40dsjsmh2pl0wepksnjvswplq04apy7",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
"146455","d860d79f724828bcd92ba63771ae49e61543bf780e62e71c56eb30c8b1464f52i0",779966,"","d860d79f724828bcd92ba63771ae49e61543bf780e62e71c56eb30c8b1464f52:0:0","5120b9ba224ed9aa367017920c04d1ce595f4803970f4f7de9c6152d2ad2a842472d","bc1phxazynke4gm8q9ujpszdrnjetayq89c0fa77n3s4954d92zzguksgndtfk",False,"{""p"": ""brc-20"", ""op"": ""mint"", ""amt"": ""1000"", ""tick"": ""ordi""}","746578742f706c61696e3b636861727365743d7574662d38",NULL
